"idx","num_of_columns","columns","wlp"
1,7,"1 2 4 8 16 15 19","0 0 0 1 2 0 0"
2,7,"1 2 4 8 16 31 7","0 0 0 2 0 1 0"
3,7,"1 2 4 8 16 7 11","0 0 0 3 0 0 0"
4,7,"1 2 4 8 7 11 13","0 0 0 7 0 0 0"
5,7,"1 2 4 8 16 31 3","0 0 1 0 1 1 0"
6,7,"1 2 4 8 16 7 24","0 0 1 1 0 0 1"
7,7,"1 2 4 8 16 15 3","0 0 1 1 1 0 0"
8,7,"1 2 4 8 16 3 12","0 0 2 0 0 1 0"
9,7,"1 2 4 8 16 7 3","0 0 2 1 0 0 0"
10,7,"1 2 4 8 3 5 14","0 0 2 3 2 0 0"
11,7,"1 2 4 8 3 5 10","0 0 3 2 1 1 0"
12,7,"1 2 4 8 3 5 9","0 0 3 3 0 0 1"
13,7,"1 2 4 8 3 5 6","0 0 4 3 0 0 0"
14,7,"1 2 4 3 5 6 7","0 0 7 7 0 0 1"
15,8,"1 2 4 8 16 15 19 21","0 0 0 3 4 0 0 0"
16,8,"1 2 4 8 16 31 7 11","0 0 0 5 0 2 0 0"
17,8,"1 2 4 8 16 7 11 19","0 0 0 6 0 0 0 1"
18,8,"1 2 4 8 16 7 11 13","0 0 0 7 0 0 0 0"
19,8,"8 9 10 11 12 13 14 15","0 0 0 14 0 0 0 1"
20,8,"1 2 4 8 16 15 19 5","0 0 1 2 3 1 0 0"
21,8,"1 2 4 8 16 15 19 7","0 0 1 3 2 0 1 0"
22,8,"1 2 4 8 16 15 19 17","0 0 2 1 2 2 0 0"
23,8,"1 2 4 8 16 31 3 12","0 0 2 1 2 2 0 0"
24,8,"1 2 4 8 16 31 7 3","0 0 2 2 1 1 1 0"
25,8,"1 2 4 8 16 15 19 3","0 0 2 2 2 0 0 1"
26,8,"1 2 4 8 16 7 11 5","0 0 2 3 2 0 0 0"
27,8,"1 2 4 8 16 7 24 3","0 0 3 1 0 2 1 0"
28,8,"1 2 4 8 16 15 3 7","0 0 3 2 1 1 0 0"
29,8,"1 2 4 8 16 7 11 3","0 0 3 3 0 0 1 0"
30,8,"7 9 10 11 12 13 14 15","0 0 3 7 4 0 1 0"
31,8,"1 2 4 8 16 7 3 5","0 0 4 3 0 0 0 0"
32,8,"6 7 9 11 12 13 14 15","0 0 4 5 4 2 0 0"
33,8,"6 7 10 11 12 13 14 15","0 0 4 6 4 0 0 1"
