"idx","m","a_columns","b_columns","s111","s111_prop","s22","s22_prop"
70,10,"1 2 4 8 16 15 19 21 25 30","6 12 9 20 10 23 12 3 11 5",120,1,44,0.977777777777778
122,11,"1 2 4 8 16 15 19 21 25 30 3","10 5 18 20 13 23 9 14 6 12 5",163,0.987878787878788,52,0.945454545454545
196,12,"1 2 4 8 16 15 19 21 25 30 3 7","22 20 9 6 10 18 11 9 6 5 17 11",215,0.977272727272727,61,0.924242424242424
288,13,"1 2 4 8 16 15 19 21 25 30 3 5 10","28 12 18 23 11 6 9 13 6 12 20 17 7",279,0.975524475524476,70,0.897435897435897
404,14,"1 2 4 8 16 15 19 21 25 30 3 5 10 29","12 12 18 6 11 23 9 7 6 9 28 17 7 11",354,0.972527472527473,80,0.879120879120879
405,14,"1 2 4 8 16 15 19 21 25 30 3 5 10 12","22 24 18 20 11 6 7 7 6 9 13 11 17 17",354,0.972527472527473,80,0.879120879120879
559,15,"1 2 4 8 16 15 19 21 25 30 3 5 10 29 17","22 12 27 18 7 6 12 7 13 6 24 11 22 9 11",440,0.967032967032967,91,0.866666666666667
565,15,"1 2 4 8 16 15 19 21 25 3 29 5 27 7 18","10 24 10 20 6 6 9 11 14 28 12 17 13 24 12",440,0.967032967032967,91,0.866666666666667
566,15,"1 2 4 8 16 15 19 21 25 30 3 5 10 7 11","22 20 9 6 12 18 9 13 14 6 17 26 17 27 20",440,0.967032967032967,91,0.866666666666667
635,16,"7 9 11 13 14 18 20 22 23 24 26 27 28 29 30 31","3 5 3 2 2 1 1 6 6 1 10 8 5 4 15 10",543,0.969642857142857,101,0.841666666666667
479,17,"5 10 11 12 13 14 17 18 20 22 24 25 26 27 28 29 30","1 2 2 3 2 6 1 7 3 6 7 6 9 4 15 8 9",658,0.967647058823529,110,0.808823529411765
478,17,"5 7 12 13 14 17 18 20 22 23 24 25 26 27 28 29 30","10 8 3 4 6 1 2 1 6 2 11 10 9 4 3 2 11",658,0.967647058823529,110,0.808823529411765
477,17,"6 7 9 11 13 14 18 20 22 23 24 26 27 28 29 30 31","2 3 3 1 1 1 2 4 5 2 8 3 8 5 12 15 10",658,0.967647058823529,110,0.808823529411765
364,18,"3 5 7 10 11 12 13 14 18 20 22 24 25 26 27 28 29 30","16 16 1 2 4 4 2 17 2 1 1 9 6 9 4 15 8 9",790,0.968137254901961,120,0.784313725490196
247,19,"5 6 7 9 10 11 13 14 18 20 22 23 24 26 27 28 29 30 31","16 19 3 1 2 3 1 2 3 4 15 2 1 15 8 12 4 15 12",937,0.966976264189886,128,0.748538011695906
138,20,"5 6 7 10 11 12 13 14 17 18 20 22 23 24 25 26 27 29 30 31","16 2 8 3 2 3 2 1 1 1 1 3 4 4 9 9 8 8 2 3",1100,0.964912280701754,136,0.715789473684211
70,21,"3 5 6 7 9 10 11 12 13 14 17 18 20 22 23 24 26 27 28 29 31","16 1 19 25 1 2 21 4 19 1 1 1 4 15 2 8 15 2 2 4 15",1280,0.962406015037594,142,0.676190476190476
37,22,"3 5 6 7 9 10 11 12 13 14 17 18 20 23 24 25 26 27 28 29 30 31","21 1 16 8 1 2 4 4 2 1 2 2 1 4 8 15 15 8 15 8 8 15",1484,0.963636363636364,133,0.575757575757576
