"idx","num_of_columns","columns","wlp","is_comp"
1,7,"1 2 4 8 16 15 19","0 1 2 0 0",FALSE
2,7,"1 2 4 8 16 31 7","0 2 0 1 0",FALSE
3,7,"1 2 4 8 16 7 11","0 3 0 0 0",FALSE
4,7,"1 2 4 8 7 11 13","0 7 0 0 0",FALSE
5,7,"1 2 4 8 16 31 3","1 0 1 1 0",FALSE
6,7,"1 2 4 8 16 7 24","1 1 0 0 1",FALSE
7,7,"1 2 4 8 16 15 3","1 1 1 0 0",FALSE
8,7,"1 2 4 8 16 3 12","2 0 0 1 0",FALSE
9,7,"1 2 4 8 16 7 3","2 1 0 0 0",FALSE
10,7,"1 2 4 8 3 5 14","2 3 2 0 0",FALSE
11,7,"1 2 4 8 3 5 10","3 2 1 1 0",FALSE
12,7,"1 2 4 8 3 5 9","3 3 0 0 1",FALSE
13,7,"1 2 4 8 3 5 6","4 3 0 0 0",FALSE
14,7,"1 2 4 3 5 6 7","7 7 0 0 1",FALSE
15,8,"1 2 4 8 16 15 19 21","0 3 4 0 0 0",FALSE
16,8,"1 2 4 8 16 31 7 11","0 5 0 2 0 0",FALSE
17,8,"1 2 4 8 16 7 11 19","0 6 0 0 0 1",FALSE
18,8,"1 2 4 8 16 7 11 13","0 7 0 0 0 0",FALSE
19,8,"8 9 10 11 12 13 14 15","0 14 0 0 0 1",FALSE
20,8,"1 2 4 8 16 15 19 5","1 2 3 1 0 0",FALSE
21,8,"1 2 4 8 16 15 19 7","1 3 2 0 1 0",FALSE
22,8,"1 2 4 8 16 15 19 17","2 1 2 2 0 0",FALSE
23,8,"1 2 4 8 16 31 3 12","2 1 2 2 0 0",FALSE
24,8,"1 2 4 8 16 31 7 3","2 2 1 1 1 0",FALSE
25,8,"1 2 4 8 16 15 19 3","2 2 2 0 0 1",FALSE
26,8,"1 2 4 8 16 7 11 5","2 3 2 0 0 0",FALSE
27,8,"1 2 4 8 16 7 24 3","3 1 0 2 1 0",FALSE
28,8,"1 2 4 8 16 15 3 7","3 2 1 1 0 0",FALSE
29,8,"1 2 4 8 16 7 11 3","3 3 0 0 1 0",FALSE
30,8,"7 9 10 11 12 13 14 15","3 7 4 0 1 0",FALSE
31,8,"1 2 4 8 16 7 3 5","4 3 0 0 0 0",FALSE
32,8,"6 7 9 11 12 13 14 15","4 5 4 2 0 0",FALSE
33,8,"6 7 10 11 12 13 14 15","4 6 4 0 0 1",FALSE
34,8,"6 7 9 10 11 12 13 15","5 5 2 2 1 0",FALSE
35,8,"3 5 6 9 10 12 14 15","7 7 0 0 1 0",FALSE
36,9,"1 2 4 8 16 15 19 21 25","0 6 8 0 0 1 0",FALSE
37,9,"1 2 4 8 16 15 19 21 22","0 7 7 0 0 0 1",FALSE
38,9,"1 2 4 8 16 31 7 11 21","0 9 0 6 0 0 0",FALSE
39,9,"1 2 4 8 16 31 7 11 13","0 10 0 4 0 1 0",FALSE
