"idx","num_of_columns","columns","wlp","is_comp"
40,9,"1 2 4 8 16 7 11 13 14","0 14 0 0 0 1 0",FALSE
41,9,"1 2 4 8 16 15 19 21 9","1 5 6 2 1 0 0",FALSE
42,9,"1 2 4 8 16 15 19 21 7","1 7 4 0 3 0 0",FALSE
43,9,"1 2 4 8 16 15 19 5 24","2 3 6 4 0 0 0",FALSE
44,9,"1 2 4 8 16 15 19 21 3","2 4 6 2 0 1 0",FALSE
45,9,"1 2 4 8 16 31 7 11 5","2 5 4 2 2 0 0",FALSE
46,9,"1 2 4 8 16 31 7 11 12","2 5 5 2 0 0 1",FALSE
47,9,"1 2 4 8 16 7 11 19 5","2 6 4 0 2 1 0",FALSE
48,9,"1 2 4 8 16 15 19 5 10","3 3 4 4 1 0 0",FALSE
49,9,"1 2 4 8 16 15 19 7 17","3 3 4 4 1 0 0",FALSE
50,9,"1 2 4 8 16 15 19 21 17","3 3 4 4 1 0 0",FALSE
51,9,"1 2 4 8 16 15 19 5 3","3 4 4 2 1 1 0",FALSE
52,9,"1 2 4 8 16 31 7 11 3","3 5 2 2 3 0 0",FALSE
53,9,"1 2 4 8 16 7 11 13 3","3 7 4 0 1 0 0",FALSE
54,9,"1 2 4 8 16 31 3 12 19","4 3 2 4 2 0 0",FALSE
55,9,"1 2 4 8 16 15 19 17 18","4 3 3 4 0 0 1",FALSE
56,9,"1 2 4 8 16 31 3 12 15","4 3 3 4 0 0 1",FALSE
57,9,"1 2 4 8 16 15 19 7 3","4 4 2 2 2 1 0",FALSE
58,9,"1 2 4 8 16 15 19 17 3","4 4 2 2 2 1 0",FALSE
59,9,"1 2 4 8 16 7 11 5 9","4 5 4 2 0 0 0",FALSE
60,9,"1 2 4 8 16 7 11 19 3","4 6 0 0 4 1 0",FALSE
61,9,"1 2 4 8 16 7 11 5 6","4 6 4 0 0 1 0",FALSE
62,9,"7 8 9 10 11 12 13 14 15","4 14 8 0 4 1 0",FALSE
63,9,"1 2 4 8 16 7 24 3 5","5 3 0 4 3 0 0",FALSE
64,9,"1 2 4 8 16 7 11 5 3","5 5 2 2 1 0 0",FALSE
65,9,"5 6 7 9 10 11 13 14 15","6 9 9 6 0 0 1",FALSE
66,9,"6 7 9 10 11 12 13 14 15","6 10 8 4 2 1 0",FALSE
67,9,"1 2 4 8 16 7 3 5 6","7 7 0 0 1 0 0",FALSE
68,9,"5 6 7 9 10 11 12 14 15","7 9 6 6 3 0 0",FALSE
69,9,"3 5 6 9 10 12 13 14 15","8 10 4 4 4 1 0",FALSE
70,10,"1 2 4 8 16 15 19 21 25 30","0 10 16 0 0 5 0 0",FALSE
71,10,"1 2 4 8 16 31 7 11 21 25","0 15 0 15 0 0 0 1",FALSE
72,10,"1 2 4 8 16 31 7 11 21 13","0 16 0 12 0 3 0 0",FALSE
73,10,"1 2 4 8 16 31 7 11 13 14","0 18 0 8 0 5 0 0",FALSE
74,10,"1 2 4 8 16 15 19 21 25 7","1 10 11 4 3 1 1 0",FALSE
75,10,"1 2 4 8 16 15 19 21 22 7","1 14 7 0 7 1 1 0",FALSE
76,10,"1 2 4 8 16 15 19 21 9 31","2 7 12 7 2 0 0 1",FALSE
77,10,"1 2 4 8 16 15 19 21 25 3","2 8 12 4 2 3 0 0",FALSE
78,10,"1 2 4 8 16 31 7 11 21 6","2 9 9 6 4 0 1 0",FALSE
79,10,"1 2 4 8 16 31 7 11 13 18","2 10 8 4 6 1 0 0",FALSE
80,10,"1 2 4 8 16 15 19 21 9 23","3 6 11 8 1 1 1 0",FALSE
81,10,"1 2 4 8 16 15 19 21 9 3","3 7 10 6 3 2 0 0",FALSE
82,10,"1 2 4 8 16 15 19 21 22 3","3 8 11 4 1 3 1 0",FALSE
83,10,"1 2 4 8 16 31 7 11 21 3","3 9 6 6 7 0 0 0",FALSE
84,10,"1 2 4 8 16 31 7 11 13 3","3 10 7 4 5 1 1 0",FALSE
85,10,"1 2 4 8 16 15 19 5 24 13","4 5 9 10 2 0 1 0",FALSE
86,10,"1 2 4 8 16 7 11 19 5 24","4 6 8 8 4 1 0 0",FALSE
87,10,"1 2 4 8 16 15 19 5 24 3","4 6 8 8 4 1 0 0",FALSE
88,10,"1 2 4 8 16 15 19 21 9 6","4 6 8 8 4 1 0 0",FALSE
89,10,"1 2 4 8 16 15 19 21 25 17","4 6 8 8 4 1 0 0",FALSE
90,10,"1 2 4 8 16 15 19 21 7 17","4 7 8 7 4 0 0 1",FALSE
91,10,"1 2 4 8 16 31 7 11 5 9","4 7 8 7 4 0 0 1",FALSE
92,10,"1 2 4 8 16 15 19 21 3 5","4 7 9 6 2 2 1 0",FALSE
93,10,"1 2 4 8 16 15 19 21 3 18","4 8 8 4 4 3 0 0",FALSE
94,10,"1 2 4 8 16 15 19 21 7 3","4 8 8 4 4 3 0 0",FALSE
95,10,"1 2 4 8 16 31 7 11 5 10","4 8 8 4 4 3 0 0",FALSE
96,10,"1 2 4 8 16 31 7 11 13 15","4 10 4 4 8 1 0 0",FALSE
97,10,"1 2 4 8 16 7 11 19 5 6","4 10 8 0 4 5 0 0",FALSE
98,10,"1 2 4 8 16 7 11 13 14 3","4 14 8 0 4 1 0 0",FALSE
99,10,"1 2 4 8 16 15 19 5 10 17","5 5 6 10 5 0 0 0",FALSE
100,10,"1 2 4 8 16 15 19 5 10 3","5 6 7 8 3 1 1 0",FALSE
101,10,"1 2 4 8 16 15 19 7 17 18","5 6 7 8 3 1 1 0",FALSE
102,10,"1 2 4 8 16 15 19 21 3 17","5 6 7 8 3 1 1 0",FALSE
103,10,"1 2 4 8 16 31 7 11 5 3","5 7 6 6 5 2 0 0",FALSE
104,10,"1 2 4 8 16 31 7 11 5 15","5 7 6 6 5 2 0 0",FALSE
105,10,"1 2 4 8 16 31 7 11 12 3","5 8 7 4 3 3 1 0",FALSE
106,10,"1 2 4 8 16 15 19 7 17 3","6 6 4 8 6 1 0 0",FALSE
107,10,"1 2 4 8 16 31 7 11 3 15","6 7 4 7 6 0 0 1",FALSE
108,10,"1 2 4 8 16 15 19 5 3 7","6 7 5 6 4 2 1 0",FALSE
109,10,"1 2 4 8 16 7 11 19 5 3","6 8 4 4 6 3 0 0",FALSE
110,10,"1 2 4 8 16 7 11 5 9 15","6 9 9 6 0 0 1 0",FALSE
111,10,"1 2 4 8 16 7 11 13 3 5","6 10 8 4 2 1 0 0",FALSE
112,10,"1 2 4 8 16 15 19 17 18 3","7 8 3 4 5 3 1 0",FALSE
113,10,"1 2 4 8 16 7 11 5 9 3","7 9 6 6 3 0 0 0",FALSE
114,10,"1 2 4 8 16 7 24 3 5 6","8 7 0 7 8 0 0 1",FALSE
115,10,"1 2 4 8 16 7 11 5 6 3","8 10 4 4 4 1 0 0",FALSE
116,10,"6 7 8 9 10 11 12 13 14 15","8 18 16 8 8 5 0 0",FALSE
117,10,"5 6 7 9 10 11 12 13 14 15","9 16 15 12 7 3 1 0",FALSE
118,10,"3 5 6 7 9 10 11 12 13 14","10 15 12 15 10 0 0 1",FALSE
119,10,"3 5 6 9 10 11 12 13 14 15","10 16 12 12 10 3 0 0",FALSE
120,11,"1 2 4 8 16 31 7 11 21 25 13","0 25 0 27 0 10 0 1 0",FALSE
121,11,"1 2 4 8 16 31 7 11 21 13 14","0 26 0 24 0 13 0 0 0",FALSE
122,11,"1 2 4 8 16 15 19 21 25 30 3","2 14 22 8 6 9 2 0 0",FALSE
123,11,"1 2 4 8 16 31 7 11 21 13 17","2 16 16 12 10 3 4 0 0",FALSE
124,11,"1 2 4 8 16 31 7 11 13 14 17","2 18 14 8 14 5 2 0 0",FALSE
125,11,"1 2 4 8 16 15 19 21 25 7 9","3 13 19 11 9 6 1 1 0",FALSE
126,11,"1 2 4 8 16 31 7 11 21 25 3","3 15 13 15 13 0 3 1 0",FALSE
127,11,"1 2 4 8 16 31 7 11 21 13 20","3 16 12 12 16 3 0 0 1",FALSE
128,11,"1 2 4 8 16 31 7 11 21 13 3","3 16 13 12 13 3 3 0 0",FALSE
129,11,"1 2 4 8 16 15 19 21 25 3 29","4 10 20 16 4 5 4 0 0",FALSE
130,11,"1 2 4 8 16 15 19 21 9 31 3","4 11 18 15 8 4 2 1 0",FALSE
131,11,"1 2 4 8 16 15 19 21 25 3 5","4 12 18 12 8 7 2 0 0",FALSE
132,11,"1 2 4 8 16 15 19 21 25 7 3","4 12 18 12 8 7 2 0 0",FALSE
133,11,"1 2 4 8 16 31 7 11 13 18 20","4 13 16 11 12 6 0 1 0",FALSE
134,11,"1 2 4 8 16 15 19 21 25 3 18","4 14 16 8 12 9 0 0 0",FALSE
135,11,"1 2 4 8 16 31 7 11 21 13 5","4 16 10 12 16 3 2 0 0",FALSE
136,11,"1 2 4 8 16 31 7 11 13 14 3","4 18 12 8 12 5 4 0 0",FALSE
137,11,"1 2 4 8 16 15 19 21 9 31 6","5 9 17 19 7 2 3 1 0",FALSE
138,11,"1 2 4 8 16 15 19 21 9 3 28","5 10 16 16 10 5 0 0 1",FALSE
139,11,"1 2 4 8 16 15 19 21 25 3 12","5 10 16 16 10 5 0 0 1",FALSE
140,11,"1 2 4 8 16 15 19 21 25 30 17","5 10 16 16 10 5 0 0 1",FALSE
141,11,"1 2 4 8 16 15 19 21 9 23 3","5 10 17 16 7 5 3 0 0",FALSE
142,11,"1 2 4 8 16 15 19 21 25 7 17","5 11 15 15 11 4 1 1 0",FALSE
143,11,"1 2 4 8 16 31 7 11 13 18 3","5 11 15 15 11 4 1 1 0",FALSE
144,11,"1 2 4 8 16 31 7 11 21 6 10","5 11 15 15 11 4 1 1 0",FALSE
145,11,"1 2 4 8 16 31 7 11 13 18 5","5 12 15 12 11 7 1 0 0",FALSE
146,11,"1 2 4 8 16 31 7 11 21 6 3","5 12 15 12 11 7 1 0 0",FALSE
147,11,"1 2 4 8 16 15 19 21 22 7 3","5 15 15 7 11 8 1 1 0",FALSE
148,11,"1 2 4 8 16 31 7 11 13 14 15","5 18 8 8 18 5 0 0 1",FALSE
149,11,"1 2 4 8 16 15 19 5 24 13 3","6 9 14 19 10 2 2 1 0",FALSE
150,11,"1 2 4 8 16 7 11 19 5 24 6","6 10 14 16 10 5 2 0 0",FALSE
151,11,"1 2 4 8 16 7 11 19 5 24 9","6 10 14 16 10 5 2 0 0",FALSE
152,11,"1 2 4 8 16 15 19 21 9 3 6","6 10 14 16 10 5 2 0 0",FALSE
153,11,"1 2 4 8 16 15 19 21 9 3 11","6 10 14 16 10 5 2 0 0",FALSE
154,11,"1 2 4 8 16 15 19 21 9 23 6","6 10 14 16 10 5 2 0 0",FALSE
155,11,"1 2 4 8 16 15 19 21 25 3 17","6 10 14 16 10 5 2 0 0",FALSE
156,11,"1 2 4 8 16 31 7 11 21 3 5","6 11 12 15 14 4 0 1 0",FALSE
157,11,"1 2 4 8 16 31 7 11 13 18 15","6 12 12 12 14 7 0 0 0",FALSE
158,11,"1 2 4 8 16 31 7 11 21 3 20","6 12 12 12 14 7 0 0 0",FALSE
159,11,"1 2 4 8 16 15 19 21 3 5 23","6 12 16 12 6 7 4 0 0",FALSE
160,11,"1 2 4 8 16 15 19 21 22 3 5","6 12 16 12 6 7 4 0 0",FALSE
161,11,"1 2 4 8 16 31 7 11 13 3 5","6 13 14 11 10 6 2 1 0",FALSE
162,11,"1 2 4 8 16 31 7 11 13 3 12","6 14 14 8 10 9 2 0 0",FALSE
163,11,"1 2 4 8 16 15 19 21 9 6 17","7 9 11 19 13 2 1 1 0",FALSE
164,11,"1 2 4 8 16 15 19 5 24 3 7","7 10 11 16 13 5 1 0 0",FALSE
165,11,"1 2 4 8 16 15 19 21 7 17 3","7 11 13 15 9 4 3 1 0",FALSE
166,11,"1 2 4 8 16 31 7 11 5 9 3","7 11 13 15 9 4 3 1 0",FALSE
167,11,"1 2 4 8 16 31 7 11 5 9 15","7 11 13 15 9 4 3 1 0",FALSE
168,11,"1 2 4 8 16 15 19 21 3 18 7","7 12 12 12 12 7 0 0 1",FALSE
169,11,"1 2 4 8 16 31 7 11 5 10 3","7 12 12 12 12 7 0 0 1",FALSE
170,11,"1 2 4 8 16 15 19 21 3 5 6","7 12 13 12 9 7 3 0 0",FALSE
171,11,"1 2 4 8 16 15 19 21 3 5 7","7 12 13 12 9 7 3 0 0",FALSE
172,11,"1 2 4 8 16 31 7 11 13 3 15","7 13 11 11 13 6 1 1 0",FALSE
173,11,"1 2 4 8 16 7 11 19 5 24 3","8 10 8 16 16 5 0 0 0",FALSE
174,11,"1 2 4 8 16 15 19 5 10 3 7","8 11 10 15 12 4 2 1 0",FALSE
175,11,"1 2 4 8 16 15 19 21 3 18 17","8 12 10 12 12 7 2 0 0",FALSE
176,11,"1 2 4 8 16 31 7 11 5 10 15","8 12 10 12 12 7 2 0 0",FALSE
177,11,"1 2 4 8 16 7 11 13 14 3 5","8 18 16 8 8 5 0 0 0",FALSE
178,11,"1 2 4 8 16 15 19 7 17 18 3","9 11 7 15 15 4 1 1 0",FALSE
179,11,"1 2 4 8 16 31 7 11 12 3 15","9 13 9 11 11 6 3 1 0",FALSE
180,11,"1 2 4 8 16 7 11 19 5 6 3","9 14 8 8 14 9 0 0 1",FALSE
181,11,"1 2 4 8 16 7 11 5 9 15 3","9 16 15 12 7 3 1 0 0",FALSE
182,11,"1 2 4 8 16 7 11 5 9 3 12","10 15 12 15 10 0 0 1 0",FALSE
183,11,"1 2 4 8 16 7 11 13 3 5 6","10 16 12 12 10 3 0 0 0",FALSE
184,11,"5 6 7 8 9 10 11 12 13 14 15","12 26 28 24 20 13 4 0 0",FALSE
185,11,"3 5 6 7 9 10 11 12 13 14 15","13 25 25 27 23 10 3 1 0",FALSE
186,11,"3 5 6 8 9 10 11 12 13 14 15","13 26 24 24 26 13 0 0 1",FALSE
187,12,"1 2 4 8 16 31 7 11 21 25 13 14","0 38 0 52 0 33 0 4 0 0",FALSE
188,12,"1 2 4 8 16 31 7 11 21 13 14 26","0 39 0 48 0 39 0 0 0 1",FALSE
189,12,"1 2 4 8 16 31 7 11 21 25 13 3","3 25 23 27 25 10 13 1 0 0",FALSE
190,12,"1 2 4 8 16 31 7 11 21 13 14 17","3 26 22 24 28 13 10 0 1 0",FALSE
191,12,"1 2 4 8 16 15 19 21 25 30 3 5","4 20 32 22 20 19 8 2 0 0",FALSE
192,12,"1 2 4 8 16 31 7 11 13 14 17 18","4 22 28 20 28 17 4 4 0 0",FALSE
193,12,"1 2 4 8 16 15 19 21 25 30 3 18","4 23 28 16 28 23 4 0 0 1",FALSE
194,12,"1 2 4 8 16 31 7 11 21 25 13 5","4 25 19 27 31 10 9 1 1 0",FALSE
195,12,"1 2 4 8 16 31 7 11 21 13 14 3","4 26 20 24 28 13 12 0 0 0",FALSE
196,12,"1 2 4 8 16 15 19 21 25 30 3 7","5 18 32 24 18 21 8 0 1 0",FALSE
197,12,"1 2 4 8 16 31 7 11 21 13 17 3","5 19 29 25 23 16 7 3 0 0",FALSE
198,12,"1 2 4 8 16 31 7 11 21 13 17 20","5 20 28 22 26 19 4 2 1 0",FALSE
199,12,"1 2 4 8 16 31 7 11 21 13 14 5","5 26 16 24 34 13 8 0 1 0",FALSE
200,12,"1 2 4 8 16 15 19 21 25 3 29 5","6 16 30 30 18 15 10 2 0 0",FALSE
201,12,"1 2 4 8 16 15 19 21 25 7 9 23","6 16 30 30 18 15 10 2 0 0",FALSE
202,12,"1 2 4 8 16 15 19 21 25 7 9 3","6 17 29 27 21 18 7 1 1 0",FALSE
203,12,"1 2 4 8 16 31 7 11 21 13 3 18","6 18 26 28 26 13 6 4 0 0",FALSE
204,12,"1 2 4 8 16 31 7 11 21 13 17 10","6 18 26 28 26 13 6 4 0 0",FALSE
205,12,"1 2 4 8 16 31 7 11 21 25 3 5","6 18 26 28 26 13 6 4 0 0",FALSE
206,12,"1 2 4 8 16 31 7 11 21 25 3 17","6 18 26 28 26 13 6 4 0 0",FALSE
207,12,"1 2 4 8 16 15 19 21 25 3 5 23","6 18 30 24 18 21 10 0 0 0",FALSE
208,12,"1 2 4 8 16 31 7 11 21 13 20 3","6 19 25 25 29 16 3 3 1 0",FALSE
209,12,"1 2 4 8 16 31 7 11 21 13 3 23","6 19 26 24 26 19 6 0 0 1",FALSE
210,12,"1 2 4 8 16 31 7 11 21 13 17 5","6 19 26 24 26 19 6 0 0 1",FALSE
211,12,"1 2 4 8 16 31 7 11 13 14 17 3","6 20 26 22 26 19 6 2 0 0",FALSE
212,12,"1 2 4 8 16 31 7 11 21 13 3 6","6 20 26 22 26 19 6 2 0 0",FALSE
213,12,"1 2 4 8 16 15 19 21 9 31 3 6","7 15 27 33 21 12 9 3 0 0",FALSE
214,12,"1 2 4 8 16 15 19 21 9 31 3 17","7 15 27 33 21 12 9 3 0 0",FALSE
215,12,"1 2 4 8 16 15 19 21 9 31 3 10","7 16 26 30 24 15 6 2 1 0",FALSE
216,12,"1 2 4 8 16 15 19 21 25 3 5 10","7 16 26 30 24 15 6 2 1 0",FALSE
217,12,"1 2 4 8 16 15 19 21 25 3 29 12","7 16 26 30 24 15 6 2 1 0",FALSE
218,12,"1 2 4 8 16 15 19 21 25 7 9 6","7 16 26 30 24 15 6 2 1 0",FALSE
219,12,"1 2 4 8 16 15 19 21 25 30 3 17","7 16 26 30 24 15 6 2 1 0",FALSE
220,12,"1 2 4 8 16 31 7 11 13 18 20 3","7 16 26 30 24 15 6 2 1 0",FALSE
221,12,"1 2 4 8 16 15 19 21 25 3 5 7","7 17 27 27 21 18 9 1 0 0",FALSE
222,12,"1 2 4 8 16 31 7 11 13 18 20 9","7 17 27 27 21 18 9 1 0 0",FALSE
223,12,"1 2 4 8 16 31 7 11 21 13 20 5","7 18 22 28 32 13 2 4 1 0",FALSE
224,12,"1 2 4 8 16 15 19 21 25 3 5 6","7 18 26 24 24 21 6 0 1 0",FALSE
225,12,"1 2 4 8 16 15 19 21 25 7 3 18","7 18 26 24 24 21 6 0 1 0",FALSE
226,12,"1 2 4 8 16 31 7 11 21 13 3 5","7 19 23 25 29 16 5 3 0 0",FALSE
227,12,"1 2 4 8 16 31 7 11 13 14 17 15","7 20 22 22 32 19 2 2 1 0",FALSE
228,12,"1 2 4 8 16 15 19 5 24 13 3 23","8 14 24 36 24 9 8 4 0 0",FALSE
229,12,"1 2 4 8 16 15 19 21 9 31 6 17","8 14 24 36 24 9 8 4 0 0",FALSE
230,12,"1 2 4 8 16 15 19 21 9 3 28 6","8 15 23 33 27 12 5 3 1 0",FALSE
231,12,"1 2 4 8 16 7 11 19 5 24 6 27","8 15 24 32 24 15 8 0 0 1",FALSE
232,12,"1 2 4 8 16 7 11 19 5 24 9 20","8 15 24 32 24 15 8 0 0 1",FALSE
233,12,"1 2 4 8 16 15 19 21 9 23 3 11","8 15 24 32 24 15 8 0 0 1",FALSE
234,12,"1 2 4 8 16 15 19 21 25 3 29 17","8 15 24 32 24 15 8 0 0 1",FALSE
235,12,"1 2 4 8 16 15 19 21 9 23 3 6","8 16 24 30 24 15 8 2 0 0",FALSE
236,12,"1 2 4 8 16 15 19 21 9 23 3 17","8 16 24 30 24 15 8 2 0 0",FALSE
237,12,"1 2 4 8 16 15 19 21 25 3 5 17","8 16 24 30 24 15 8 2 0 0",FALSE
238,12,"1 2 4 8 16 15 19 21 25 7 3 17","8 16 24 30 24 15 8 2 0 0",FALSE
239,12,"1 2 4 8 16 31 7 11 13 18 3 12","8 16 24 30 24 15 8 2 0 0",FALSE
240,12,"1 2 4 8 16 31 7 11 21 6 10 15","8 16 24 30 24 15 8 2 0 0",FALSE
241,12,"1 2 4 8 16 31 7 11 13 18 20 6","8 17 23 27 27 18 5 1 1 0",FALSE
242,12,"1 2 4 8 16 31 7 11 21 6 10 5","8 17 23 27 27 18 5 1 1 0",FALSE
243,12,"1 2 4 8 16 31 7 11 13 18 5 10","8 18 24 24 24 21 8 0 0 0",FALSE
244,12,"1 2 4 8 16 31 7 11 21 13 5 10","8 20 20 22 32 19 4 2 0 0",FALSE
245,12,"1 2 4 8 16 31 7 11 13 14 3 5","8 22 24 20 24 17 8 4 0 0",FALSE
246,12,"1 2 4 8 16 31 7 11 13 14 3 12","8 23 24 16 24 23 8 0 0 1",FALSE
247,12,"1 2 4 8 16 15 19 21 25 3 12 17","9 14 20 36 30 9 4 4 1 0",FALSE
248,12,"1 2 4 8 16 15 19 5 24 13 3 7","9 15 21 33 27 12 7 3 0 0",FALSE
249,12,"1 2 4 8 16 15 19 5 24 13 3 11","9 15 21 33 27 12 7 3 0 0",FALSE
250,12,"1 2 4 8 16 7 11 19 5 24 9 12","9 16 20 30 30 15 4 2 1 0",FALSE
251,12,"1 2 4 8 16 31 7 11 13 18 3 15","9 16 20 30 30 15 4 2 1 0",FALSE
252,12,"1 2 4 8 16 31 7 11 13 18 5 15","9 17 21 27 27 18 7 1 0 0",FALSE
253,12,"1 2 4 8 16 31 7 11 21 6 3 5","9 17 21 27 27 18 7 1 0 0",FALSE
254,12,"1 2 4 8 16 15 19 21 25 3 18 17","9 18 20 24 30 21 4 0 1 0",FALSE
255,12,"1 2 4 8 16 15 19 21 3 5 23 17","9 19 25 25 19 16 11 3 0 0",FALSE
256,12,"1 2 4 8 16 15 19 21 3 5 23 6","9 20 24 22 22 19 8 2 1 0",FALSE
257,12,"1 2 4 8 16 15 19 21 22 7 3 5","9 20 24 22 22 19 8 2 1 0",FALSE
258,12,"1 2 4 8 16 31 7 11 13 14 3 15","9 22 20 20 30 17 4 4 1 0",FALSE
259,12,"1 2 4 8 16 7 11 19 5 24 9 3","10 16 18 30 30 15 6 2 0 0",FALSE
260,12,"1 2 4 8 16 15 19 21 9 23 6 17","10 16 18 30 30 15 6 2 0 0",FALSE
261,12,"1 2 4 8 16 31 7 11 21 3 20 23","10 18 18 24 30 21 6 0 0 0",FALSE
262,12,"1 2 4 8 16 15 19 21 7 17 3 5","10 18 22 28 22 13 10 4 0 0",FALSE
263,12,"1 2 4 8 16 31 7 11 5 9 3 12","10 18 22 28 22 13 10 4 0 0",FALSE
264,12,"1 2 4 8 16 31 7 11 13 3 5 6","10 19 21 25 25 16 7 3 1 0",FALSE
265,12,"1 2 4 8 16 31 7 11 13 3 5 15","10 19 21 25 25 16 7 3 1 0",FALSE
266,12,"1 2 4 8 16 15 19 21 3 5 23 7","10 19 22 24 22 19 10 0 0 1",FALSE
267,12,"1 2 4 8 16 15 19 21 22 3 5 6","10 19 22 24 22 19 10 0 0 1",FALSE
268,12,"1 2 4 8 16 7 11 19 5 24 6 3","11 16 14 30 36 15 2 2 1 0",FALSE
269,12,"1 2 4 8 16 15 19 21 7 17 3 18","11 18 18 28 28 13 6 4 1 0",FALSE
270,12,"1 2 4 8 16 31 7 11 5 10 3 15","11 18 18 28 28 13 6 4 1 0",FALSE
271,12,"1 2 4 8 16 15 19 21 3 5 6 7","11 19 19 25 25 16 9 3 0 0",FALSE
272,12,"1 2 4 8 16 31 7 11 13 3 12 15","11 20 18 22 28 19 6 2 1 0",FALSE
273,12,"1 2 4 8 16 7 11 13 14 3 5 9","12 26 28 24 20 13 4 0 0 0",FALSE
274,12,"1 2 4 8 16 7 11 5 9 15 3 6","13 25 25 27 23 10 3 1 0 0",FALSE
275,12,"1 2 4 8 16 7 11 13 14 3 5 6","13 26 24 24 26 13 0 0 1 0",FALSE
276,12,"4 5 6 7 8 9 10 11 12 13 14 15","16 39 48 48 48 39 16 0 0 1",FALSE
277,12,"3 5 6 7 8 9 10 11 12 13 14 15","17 38 44 52 54 33 12 4 1 0",FALSE
278,13,"1 2 4 8 16 31 7 11 21 25 13 14 19","0 55 0 96 0 87 0 16 0 1 0",FALSE
279,13,"1 2 4 8 16 31 7 11 21 25 13 14 17","4 38 32 52 56 33 32 4 4 0 0",FALSE
280,13,"1 2 4 8 16 31 7 11 21 25 13 14 3","4 38 33 52 52 33 38 4 0 0 1",FALSE
281,13,"1 2 4 8 16 31 7 11 21 13 14 26 3","4 39 32 48 56 39 32 0 4 1 0",FALSE
282,13,"1 2 4 8 16 31 7 11 21 25 13 14 5","5 38 28 52 62 33 28 4 5 0 0",FALSE
283,13,"1 2 4 8 16 15 19 21 25 30 3 5 23","6 28 51 42 42 51 28 6 0 0 1",FALSE
284,13,"1 2 4 8 16 31 7 11 21 25 13 3 17","6 29 46 46 50 41 26 10 0 1 0",FALSE
285,13,"1 2 4 8 16 31 7 11 21 13 14 17 18","6 30 44 44 56 41 20 12 2 0 0",FALSE
286,13,"1 2 4 8 16 31 7 11 21 13 14 17 20","6 31 44 40 56 47 20 8 2 1 0",FALSE
287,13,"1 2 4 8 16 31 7 11 21 13 14 26 5","6 39 24 48 68 39 24 0 6 1 0",FALSE
288,13,"1 2 4 8 16 15 19 21 25 30 3 5 10","7 26 48 48 46 45 24 8 3 0 0",FALSE
