"idx","m","a_columns","b_columns","s111","s111_prop","s22","s22_prop"
8,6,"1 2 4 8 7 11","12 13 10 5 9 5",20,1,8,0.533333333333333
13,7,"1 2 4 8 7 11 13",NA,35,1,0,0
15,8,"6 7 9 11 12 13 14 15","2 2 1 1 4 5 4 5",52,0.928571428571429,14,0.5
10,9,"5 6 7 9 10 11 13 14 15","1 2 3 1 2 3 1 2 3",78,0.928571428571429,18,0.5
4,10,"3 5 6 7 9 10 11 12 13 14","1 1 2 8 1 2 4 4 2 1",110,0.916666666666667,15,0.333333333333333
