"idx","m","a_columns","b_columns","s111","s111_prop","s22","s22_prop"
10,6,"1 2 4 8 3 12","10 13 10 7 5 5",18,0.9,12,0.8
11,6,"1 2 4 8 3 5","6 13 11 6 9 9",18,0.9,12,0.8
15,7,"1 2 4 8 3 5 10","6 9 11 7 13 9 6",32,0.914285714285714,15,0.714285714285714
14,8,"6 7 9 10 11 12 13 15","2 2 1 4 3 4 3 1",51,0.910714285714286,16,0.571428571428571
10,9,"5 6 7 9 10 11 13 14 15","1 2 3 1 2 3 1 2 3",78,0.928571428571429,18,0.5
4,10,"3 5 6 7 9 10 11 12 13 14","1 1 2 8 1 2 4 4 2 1",110,0.916666666666667,15,0.333333333333333
