"idx","num_of_columns","columns","wlp","is_comp"
1,4,"1 2 4 8","0 0",FALSE
2,4,"1 2 4 3","1 0",FALSE
3,4,"1 2 4 7","0 1",FALSE
4,5,"1 2 4 8 15","0 0 1",FALSE
5,5,"1 2 4 8 7","0 1 0",FALSE
6,5,"1 2 4 8 3","1 0 0",FALSE
7,5,"1 2 4 3 5","2 1 0",FALSE
8,6,"1 2 4 8 7 11","0 3 0 0",FALSE
9,6,"1 2 4 8 3 13","1 1 1 0",FALSE
10,6,"1 2 4 8 3 12","2 0 0 1",FALSE
11,6,"1 2 4 8 3 5","2 1 0 0",FALSE
12,6,"1 2 4 3 5 6","4 3 0 0",FALSE
13,7,"1 2 4 8 7 11 13","0 7 0 0 0",FALSE
14,7,"1 2 4 8 3 5 14","2 3 2 0 0",FALSE
15,7,"1 2 4 8 3 5 10","3 2 1 1 0",FALSE
16,7,"1 2 4 8 3 5 9","3 3 0 0 1",FALSE
17,7,"1 2 4 8 3 5 6","4 3 0 0 0",FALSE
18,7,"1 2 4 3 5 6 7","7 7 0 0 1",FALSE
14,8,"6 7 9 10 11 12 13 15","2 3 2 0 0",TRUE
15,8,"6 7 9 11 12 13 14 15","3 2 1 1 0",TRUE
9,9,"5 6 7 9 10 11 12 14 15","1 1 1 0",TRUE
10,9,"5 6 7 9 10 11 13 14 15","2 0 0 1",TRUE
4,10,"3 5 6 7 9 10 11 12 13 14","0 0 1",TRUE
